,stock_code,release_date,report_year
546,01599.HK,2018-04-26,2017
547,05311.HK,2018-04-26,2017
548,01285.HK,2018-04-26,2017
549,05379.HK,2018-04-26,2017
550,05567.HK,2018-04-26,2017
551,05580.HK,2018-04-26,2017
552,05602.HK,2018-04-26,2017
553,05626.HK,2018-04-26,2017
554,05821.HK,2018-04-26,2017
555,05855.HK,2018-04-26,2017
556,00500.HK,2018-04-26,2017
557,02858.HK,2018-04-26,2017
558,00098.HK,2018-04-26,2017
559,01185.HK,2018-04-26,2017
560,05367.HK,2018-04-26,2017
561,00875.HK,2018-04-26,2017
562,00059.HK,2018-04-26,2017
563,01159.HK,2018-04-26,2017
564,00317.HK,2018-04-26,2017
565,03606.HK,2018-04-26,2017
566,00115.HK,2018-04-26,2017
567,00758.HK,2018-04-26,2017
568,02025.HK,2018-04-26,2017
569,01459.HK,2018-04-26,2017
570,03900.HK,2018-04-26,2017
571,01628.HK,2018-04-26,2017
572,00431.HK,2018-04-26,2017
573,06108.HK,2018-04-26,2017
574,01495.HK,2018-04-26,2017
575,03301.HK,2018-04-26,2017
576,00656.HK,2018-04-26,2017
577,01636.HK,2018-04-26,2017
578,00953.HK,2018-04-26,2017
579,08411.HK,2018-04-26,2017
580,01312.HK,2018-04-26,2017
581,01730.HK,2018-04-26,2017
582,00200.HK,2018-04-26,2017
583,02377.HK,2018-04-26,2017
584,01357.HK,2018-04-26,2017
585,00619.HK,2018-04-26,2017
586,01766.HK,2018-04-26,2017
587,00931.HK,2018-04-26,2017
588,00863.HK,2018-04-26,2017
589,00039.HK,2018-04-26,2017
590,02232.HK,2018-04-26,2017
591,00144.HK,2018-04-26,2017
592,00675.HK,2018-04-26,2017
593,01596.HK,2018-04-26,2017
594,00550.HK,2018-04-26,2017
595,02116.HK,2018-04-26,2017
596,01114.HK,2018-04-26,2017
597,00556.HK,2018-04-26,2017
598,00422.HK,2018-04-26,2017
599,02349.HK,2018-04-26,2017
600,01049.HK,2018-04-26,2017
601,00091.HK,2018-04-26,2017
602,00701.HK,2018-04-26,2017
603,01439.HK,2018-04-26,2017
604,01932.HK,2018-04-26,2017
605,01371.HK,2018-04-26,2017
606,00710.HK,2018-04-26,2017
607,00839.HK,2018-04-26,2017
608,02298.HK,2018-04-26,2017
609,00323.HK,2018-04-26,2017
610,02323.HK,2018-04-26,2017
611,00176.HK,2018-04-26,2017
612,02269.HK,2018-04-26,2017
613,01680.HK,2018-04-26,2017
614,01066.HK,2018-04-26,2017
615,00433.HK,2018-04-26,2017
616,01555.HK,2018-04-26,2017
617,00065.HK,2018-04-26,2017
618,03773.HK,2018-04-26,2017
619,00532.HK,2018-04-26,2017
620,01183.HK,2018-04-26,2017
621,00370.HK,2018-04-26,2017
622,00975.HK,2018-04-26,2017
623,00099.HK,2018-04-26,2017
624,01297.HK,2018-04-26,2017
625,06866.HK,2018-04-26,2017
626,02666.HK,2018-04-26,2017
627,00439.HK,2018-04-26,2017
628,00776.HK,2018-04-26,2017
