,stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
32,00197.HK,30/10/2017,30/10/2019,29/10/2020,30/11/2021,30/11/2022,30/10/2023,
33,01059.HK,30/10/2017,18/01/2019,10/01/2020,26/11/2020,29/11/2021,28/11/2022,26/10/2023
34,00092.HK,30/10/2017,18/01/2019,10/01/2020,26/11/2020,29/11/2021,28/11/2022,26/10/2023
35,01229.HK,12/10/2018,08/10/2019,14/10/2020,18/10/2021,31/08/2022,19/07/2023,
36,01315.HK,30/10/2017,25/10/2018,18/06/2020,20/01/2021,27/10/2021,30/08/2022,28/07/2023
37,00475.HK,25/10/2018,28/10/2019,19/10/2020,12/10/2021,30/08/2022,21/07/2023,
38,01566.HK,26/11/2018,,28/10/2019,26/11/2020,31/08/2022,27/07/2023,
39,00721.HK,27/10/2017,30/10/2018,30/10/2019,29/10/2020,28/10/2021,28/10/2022,
40,00559.HK,27/10/2017,31/10/2018,31/10/2019,30/10/2020,28/10/2021,27/10/2022,31/10/2023
41,00226.HK,30/07/2018,30/07/2019,29/07/2020,28/04/2021,28/04/2022,05/05/2023,
42,00156.HK,30/07/2018,30/07/2019,29/07/2020,28/04/2021,28/04/2022,27/04/2023,
43,01348.HK,27/10/2017,24/10/2018,29/10/2019,21/10/2020,21/10/2021,31/08/2022,28/07/2023
44,00655.HK,30/07/2018,29/07/2019,29/07/2020,28/04/2021,28/04/2022,27/04/2023,
45,00029.HK,29/10/2018,,28/10/2020,27/10/2021,27/10/2022,26/10/2023,
46,01195.HK,27/10/2017,29/10/2018,30/10/2019,28/10/2020,27/10/2021,27/10/2022,30/10/2023
47,00495.HK,27/10/2017,29/10/2018,29/10/2019,28/10/2020,28/10/2021,27/10/2022,27/10/2023
48,01419.HK,27/10/2017,29/10/2018,29/10/2019,30/10/2020,28/10/2021,28/10/2022,30/10/2023
49,00412.HK,26/10/2017,26/07/2019,17/07/2020,30/07/2021,31/05/2022,28/04/2023,
50,00375.HK,26/10/2018,24/10/2019,29/10/2020,28/10/2021,31/08/2022,28/07/2023,
51,00294.HK,29/10/2018,24/10/2019,29/10/2020,29/10/2021,29/08/2022,31/07/2023,
52,00259.HK,26/10/2018,27/09/2019,16/10/2020,18/10/2021,30/08/2022,26/07/2023,
53,00216.HK,24/10/2018,23/10/2019,22/10/2020,25/10/2021,30/08/2022,26/07/2023,
54,00160.HK,24/10/2018,23/10/2019,22/10/2020,25/10/2021,30/08/2022,26/07/2023,
55,00362.HK,26/10/2017,30/10/2018,06/02/2020,18/01/2021,31/12/2021,22/12/2022,
56,03893.HK,26/10/2017,18/10/2018,21/10/2019,15/10/2020,27/10/2021,27/10/2023,
57,00627.HK,,28/06/2019,29/06/2020,08/10/2021,31/05/2022,27/04/2023,
58,01443.HK,25/10/2017,18/10/2018,25/10/2019,23/10/2020,27/10/2021,31/08/2022,28/07/2023
59,08021.HK,26/10/2018,28/10/2019,28/10/2020,28/10/2021,29/09/2022,30/07/2023,
60,03626.HK,25/10/2017,24/10/2018,23/10/2019,28/10/2020,27/10/2021,26/10/2022,25/10/2023
61,00040.HK,22/10/2018,23/10/2019,27/10/2020,29/10/2021,31/08/2022,28/07/2023,
62,01166.HK,25/10/2017,25/10/2018,24/10/2019,22/10/2020,21/10/2021,27/10/2022,26/10/2023
63,01662.HK,15/10/2018,20/09/2019,08/09/2020,20/08/2021,22/07/2022,20/07/2023,
64,00896.HK,02/10/2018,30/09/2019,09/10/2020,24/09/2021,26/08/2022,25/07/2023,
65,01360.HK,26/10/2018,30/10/2019,19/10/2020,15/10/2021,20/10/2022,31/10/2023,
66,00332.HK,23/10/2018,24/10/2019,28/10/2020,26/10/2021,26/08/2022,26/07/2023,
67,00722.HK,23/10/2017,12/10/2018,17/10/2019,16/10/2020,22/10/2021,25/10/2022,25/10/2023
68,00126.HK,20/10/2017,25/10/2018,23/10/2019,20/10/2020,21/10/2021,21/08/2022,27/07/2023
69,01627.HK,20/10/2017,19/10/2018,16/10/2020,,26/10/2021,25/07/2022,27/07/2023
70,00919.HK,19/10/2018,23/10/2019,15/10/2020,31/08/2021,31/08/2022,26/07/2023,
71,01142.HK,20/10/2017,31/10/2018,30/10/2019,09/10/2020,19/10/2021,30/08/2022,28/07/2023
72,01104.HK,20/10/2017,19/10/2018,21/10/2019,16/10/2020,27/10/2021,26/10/2022,25/10/2023
73,01326.HK,18/10/2018,23/10/2019,27/10/2020,27/10/2021,26/10/2022,27/10/2023,
74,01655.HK,19/10/2017,16/10/2018,16/10/2019,15/10/2020,18/10/2021,,
75,00183.HK,19/10/2017,25/10/2018,24/10/2019,28/10/2020,26/10/2021,25/10/2023,
