file_name,positive,negative,net_value,total_words,business,cc_words,environment_word,gen_word,philanthrophy,product,sh_value_value,value_cr_value,labor_relation_value,labor_cost_value,health_value,evaluation_value,demo_value,diversity_value,attract_value,net_ratio,posi_ratio,nega_ratio,name,year
1152.HK,3,6,78,5,4,3,5,1,0,0,0,0,0,3,6,1,7,5,4,47,43,58,01152.pdf,100
3303.HK,10,22,62,17,16,18,21,9,0,0,0,0,0,12,21,9,23,15,16,42,38,63,03303.pdf,100
2738.HK,7,13,71,11,9,8,13,2,4,33,33,0,4,9,14,2,11,9,9,46,42,60,02738.pdf,100
0381.HK,7,17,66,12,8,3,10,2,1,0,0,0,1,19,11,2,15,12,8,37,36,68,00381.pdf,100
1551.HK,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,01551.pdf,100
2616.HK,9,18,65,15,9,7,10,2,0,0,0,0,0,9,14,2,18,13,9,43,36,60,02616.pdf,100
1099.HK,26,41,49,34,17,17,23,6,6,0,0,4,6,14,27,6,39,38,17,49,47,59,01099.pdf,100
9923.HK,30,26,75,29,10,11,12,4,17,0,0,14,17,17,15,4,36,25,10,69,62,43,09923.pdf,100
3738.HK,4,10,73,7,4,1,5,2,1,0,0,0,1,5,7,2,8,6,4,36,41,70,03738.pdf,100
8187.HK,10,15,71,14,9,4,10,2,0,0,0,0,0,9,12,2,18,13,9,52,44,54,08187.pdf,100
8646.HK,9,18,65,11,6,6,13,3,3,0,0,0,3,11,10,3,19,11,6,32,46,79,08646.pdf,100
1066.HK,14,21,66,26,15,13,17,4,4,0,0,0,4,18,26,4,27,17,15,58,33,40,01066.pdf,100
6036.HK,8,14,70,17,6,6,12,1,6,0,0,0,6,8,10,1,16,11,6,56,29,42,06036.pdf,100
1857.HK,47,52,53,77,40,31,62,19,12,0,0,0,12,28,53,19,42,51,40,66,38,34,01857.pdf,100
8035.HK,12,15,73,14,9,5,11,5,3,0,0,4,3,10,13,5,17,16,9,56,54,54,08035.pdf,100
8510.HK,6,14,69,10,6,3,8,1,0,0,0,0,0,8,10,1,11,9,6,36,36,68,08510.pdf,100
0228.HK,11,20,64,24,9,23,24,5,1,0,0,14,1,16,16,5,32,18,9,55,27,42,00228.pdf,100
0412.HK,11,16,70,14,7,6,8,2,3,0,0,4,3,8,8,2,21,13,7,50,46,57,00412.pdf,100
1925.HK,4,7,77,6,4,4,7,1,8,0,0,0,8,3,6,1,7,5,4,49,38,54,01925.pdf,100
0868.HK,17,24,65,36,12,19,23,2,8,0,0,0,8,14,24,2,24,19,12,63,30,33,00868.pdf,100
8045.HK,5,4,82,5,2,3,6,1,3,0,0,0,3,3,3,1,9,6,2,69,59,42,08045.pdf,100
6655.HK,26,25,71,29,21,23,43,5,12,0,0,0,12,9,26,5,27,23,21,65,55,44,06655.pdf,100
2096.HK,25,31,63,30,14,10,20,4,16,0,0,0,16,18,26,4,31,29,14,58,53,52,02096.pdf,100
3800.HK,47,34,79,51,18,31,35,8,14,0,0,28,14,25,28,8,49,41,18,75,57,34,03800.pdf,100
1503.HK,14,20,68,26,11,4,12,1,3,0,0,0,3,13,22,1,26,23,11,60,34,39,01503.pdf,100
1268.HK,9,10,77,10,9,8,13,4,0,0,0,4,0,7,10,4,15,10,9,60,57,52,01268.pdf,100
0913.HK,3,6,78,7,3,3,3,2,1,0,0,4,1,6,3,2,8,4,3,53,30,46,00913.pdf,100
1538.HK,8,14,71,17,7,7,10,2,0,0,0,0,0,9,10,2,22,14,7,57,30,40,01538.pdf,100
0815.HK,6,12,73,10,7,7,13,1,0,0,0,0,0,5,13,1,10,6,7,48,39,56,00815.pdf,100
1815.HK,4,6,78,7,5,6,7,1,1,0,0,0,1,3,6,1,9,5,5,57,41,47,01815.pdf,100
1620.HK,5,9,75,8,5,5,6,2,3,0,0,0,3,6,11,2,13,8,5,45,40,59,01620.pdf,100
1225.HK,4,7,77,6,4,8,7,2,0,0,0,0,0,7,5,2,16,6,4,51,38,52,01225.pdf,100
1302.HK,13,25,60,25,10,8,16,3,1,33,33,14,1,22,23,3,26,21,10,50,34,50,01302.pdf,100
0853.HK,28,27,71,36,10,9,14,3,1,0,0,0,1,24,18,3,37,38,10,68,48,37,00853.pdf,100
8211.HK,9,16,68,13,6,7,9,3,0,0,0,4,0,11,14,3,16,13,6,44,41,61,08211.pdf,100
2128.HK,31,28,73,44,17,16,26,7,6,0,0,0,6,18,31,7,31,29,17,71,44,31,02128.pdf,100
0385.HK,6,10,75,9,5,4,7,1,0,0,0,4,0,4,9,1,10,9,5,53,43,52,00385.pdf,100
0627.HK,11,14,73,18,9,12,16,3,0,0,0,0,0,10,11,3,14,12,9,61,37,39,00627.pdf,100
0254.HK,6,10,75,12,4,3,7,1,0,0,0,0,0,8,8,1,13,7,4,59,33,40,00254.pdf,100
1940.HK,4,6,78,8,5,0,6,1,0,0,0,0,0,2,12,1,9,6,5,59,35,41,01940.pdf,100
1328.HK,6,14,69,10,6,6,9,0,0,0,0,9,0,8,8,0,16,11,6,39,40,67,01328.pdf,100
0371.HK,42,37,70,47,30,31,39,7,9,0,0,9,9,68,40,7,39,51,30,70,56,39,00371.pdf,100
1516.HK,13,17,72,20,7,6,11,1,3,0,0,0,3,10,14,1,28,21,7,61,40,41,01516.pdf,100
6083.HK,9,18,67,14,10,7,14,3,1,0,0,9,1,9,16,3,17,12,10,43,42,64,06083.pdf,100
1968.HK,8,18,65,14,15,13,20,2,0,0,0,0,0,11,22,2,18,12,15,40,35,64,01968.pdf,100
0807.HK,19,30,58,28,17,10,31,6,4,0,0,0,4,14,34,6,26,26,17,51,42,54,00807.pdf,100
3600.HK,7,14,71,11,5,3,6,3,1,0,0,0,1,6,8,3,11,9,5,45,41,61,03600.pdf,100
0951.HK,12,13,76,19,4,2,6,3,11,0,0,0,11,11,13,3,18,13,4,67,40,34,00951.pdf,100
1556.HK,6,12,72,11,6,5,9,2,0,0,0,0,0,5,9,2,12,11,6,48,37,55,01556.pdf,100
0079.HK,6,13,71,10,6,3,8,2,4,0,0,0,4,7,8,2,10,8,6,43,40,62,00079.pdf,100
