stock_code,ESG_2017_rel_date,ESG_2018_rel_date,ESG_2019_rel_date,ESG_2020_rel_date,ESG_2021_rel_date,ESG_2022_rel_date,ESG_2023_rel_date
02113.HK,NA,NA,NA,NA,NA,26/08/2022,NA
00745.HK,NA,NA,NA,NA,NA,25/08/2022,NA
08613.HK,NA,NA,NA,NA,NA,25/08/2022,NA
00417.HK,NA,NA,NA,NA,25/08/2022,NA,NA
00276.HK,NA,NA,NA,NA,NA,24/08/2022,NA
08446.HK,NA,NA,NA,NA,NA,23/08/2022,NA
08456.HK,NA,NA,NA,NA,23/08/2022,NA,NA
08072.HK,NA,NA,NA,NA,23/08/2022,NA,NA
00223.HK,NA,NA,NA,NA,NA,22/08/2022,NA
01382.HK,NA,NA,NA,NA,22/08/2022,NA,NA
00126.HK,NA,NA,NA,NA,NA,21/08/2022,NA
08200.HK,NA,NA,NA,NA,NA,19/08/2022,NA
01226.HK,NA,NA,NA,NA,19/08/2022,NA,NA
03830.HK,NA,NA,NA,NA,NA,19/08/2022,NA
08428.HK,NA,NA,NA,NA,NA,19/08/2022,NA
08143.HK,NA,NA,NA,NA,19/08/2022,NA,NA
00657.HK,NA,NA,NA,NA,19/08/2022,NA,NA
01283.HK,NA,NA,NA,NA,NA,18/08/2022,NA
08222.HK,NA,NA,NA,NA,18/08/2022,NA,NA
02777.HK,NA,NA,NA,NA,18/08/2022,NA,NA
01466.HK,NA,NA,NA,NA,NA,17/08/2022,NA
00052.HK,NA,NA,NA,NA,17/08/2022,NA,NA
08295.HK,NA,NA,NA,NA,16/08/2022,NA,NA
01943.HK,NA,NA,NA,NA,NA,16/08/2022,NA
08341.HK,NA,NA,NA,NA,NA,16/08/2022,NA
08523.HK,NA,NA,NA,NA,NA,16/08/2022,NA
08149.HK,NA,NA,NA,NA,NA,15/08/2022,NA
08153.HK,NA,NA,NA,NA,NA,14/08/2022,NA
00313.HK,NA,NA,NA,NA,NA,14/08/2022,NA
01682.HK,NA,NA,NA,NA,NA,12/08/2022,NA
08507.HK,NA,NA,NA,NA,NA,12/08/2022,NA
08056.HK,NA,NA,NA,NA,12/08/2022,NA,NA
01246.HK,NA,NA,NA,NA,NA,12/08/2022,NA
01376.HK,NA,NA,NA,NA,12/08/2022,NA,NA
08221.HK,NA,NA,NA,NA,NA,11/08/2022,NA
00444.HK,NA,NA,NA,NA,NA,11/08/2022,NA
01722.HK,NA,NA,NA,NA,10/08/2022,NA,NA
00269.HK,NA,NA,NA,NA,NA,09/08/2022,NA
08220.HK,NA,NA,NA,NA,09/08/2022,NA,NA
08619.HK,NA,NA,NA,NA,09/08/2022,NA,NA
00704.HK,NA,NA,NA,NA,05/08/2022,NA,NA
00704.HK,NA,NA,NA,05/08/2022,NA,NA,NA
02320.HK,NA,NA,NA,NA,04/08/2022,NA,NA
00986.HK,NA,NA,NA,NA,NA,04/08/2022,NA
00485.HK,NA,NA,NA,NA,NA,04/08/2022,NA
01850.HK,NA,NA,NA,NA,NA,03/08/2022,NA
00684.HK,NA,NA,NA,NA,01/08/2022,NA,NA
00476.HK,NA,NA,NA,NA,NA,01/08/2022,NA
00673.HK,NA,NA,NA,NA,NA,31/07/2022,NA
01657.HK,NA,NA,NA,NA,NA,29/07/2022,NA
00526.HK,NA,NA,NA,NA,NA,29/07/2022,NA
01718.HK,NA,NA,NA,NA,29/07/2022,NA,NA
01319.HK,NA,NA,NA,NA,NA,29/07/2022,NA
00907.HK,NA,NA,NA,NA,29/07/2022,NA,NA
00224.HK,NA,NA,NA,NA,29/07/2022,NA,NA
01933.HK,NA,NA,NA,NA,NA,29/07/2022,NA
01220.HK,NA,NA,NA,NA,29/07/2022,NA,NA
02322.HK,NA,NA,NA,NA,NA,29/07/2022,NA
01591.HK,NA,NA,NA,NA,NA,28/07/2022,NA
08118.HK,NA,NA,NA,NA,NA,28/07/2022,NA
02682.HK,NA,NA,NA,NA,NA,28/07/2022,NA
01260.HK,NA,NA,NA,NA,NA,28/07/2022,NA
02288.HK,NA,NA,NA,NA,NA,28/07/2022,NA
02708.HK,NA,NA,NA,NA,NA,28/07/2022,NA
01942.HK,NA,NA,NA,NA,28/07/2022,NA,NA
01468.HK,NA,NA,NA,NA,NA,28/07/2022,NA
02158.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00211.HK,NA,NA,NA,NA,28/07/2022,NA,NA
00292.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00129.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00214.HK,NA,NA,NA,NA,NA,28/07/2022,NA
01663.HK,NA,NA,NA,NA,28/07/2022,NA,NA
01653.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00037.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00858.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00789.HK,NA,NA,NA,NA,28/07/2022,NA,NA
06893.HK,NA,NA,NA,NA,28/07/2022,NA,NA
01693.HK,NA,NA,NA,NA,NA,28/07/2022,NA
02193.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00854.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00508.HK,NA,NA,NA,NA,NA,28/07/2022,NA
02031.HK,NA,NA,NA,NA,28/07/2022,NA,NA
00497.HK,NA,NA,NA,NA,NA,28/07/2022,NA
02263.HK,NA,NA,NA,NA,28/07/2022,NA,NA
00367.HK,NA,NA,NA,NA,NA,28/07/2022,NA
01124.HK,NA,NA,NA,NA,28/07/2022,NA,NA
03638.HK,NA,NA,NA,NA,NA,28/07/2022,NA
01613.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00290.HK,NA,NA,NA,NA,NA,28/07/2022,NA
03728.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00595.HK,NA,NA,NA,NA,NA,28/07/2022,NA
02230.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00938.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00252.HK,NA,NA,NA,NA,28/07/2022,NA,NA
01647.HK,NA,NA,NA,NA,NA,28/07/2022,NA
01172.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00723.HK,NA,NA,NA,NA,28/07/2022,NA,NA
00401.HK,NA,NA,NA,NA,28/07/2022,NA,NA
00278.HK,NA,NA,NA,NA,NA,28/07/2022,NA
00923.HK,NA,NA,NA,NA,NA,28/07/2022,NA
02633.HK,NA,NA,NA,NA,NA,27/07/2022,NA
01536.HK,NA,NA,NA,NA,27/07/2022,NA,NA
01182.HK,NA,NA,NA,NA,27/07/2022,NA,NA
00518.HK,NA,NA,NA,NA,NA,27/07/2022,NA
01013.HK,NA,NA,NA,NA,NA,27/07/2022,NA
01140.HK,NA,NA,NA,NA,27/07/2022,NA,NA
01716.HK,NA,NA,NA,NA,NA,27/07/2022,NA
01406.HK,NA,NA,NA,NA,NA,27/07/2022,NA
00202.HK,NA,NA,NA,NA,NA,27/07/2022,NA
00599.HK,NA,NA,NA,NA,27/07/2022,NA,NA
02161.HK,NA,NA,NA,NA,NA,27/07/2022,NA
06639.HK,NA,NA,NA,NA,27/07/2022,NA,NA
00370.HK,NA,NA,NA,NA,27/07/2022,NA,NA
01323.HK,NA,NA,NA,NA,26/07/2022,NA,NA
02153.HK,NA,NA,NA,NA,NA,26/07/2022,NA
01060.HK,NA,NA,NA,NA,26/07/2022,NA,NA
09938.HK,NA,NA,NA,NA,26/07/2022,NA,NA
00621.HK,NA,NA,NA,NA,NA,26/07/2022,NA
00970.HK,NA,NA,NA,NA,NA,26/07/2022,NA
01796.HK,NA,NA,NA,NA,NA,26/07/2022,NA
03878.HK,NA,NA,NA,NA,NA,26/07/2022,NA
00025.HK,NA,NA,NA,NA,NA,26/07/2022,NA
01955.HK,NA,NA,NA,NA,26/07/2022,NA,NA
00298.HK,NA,NA,NA,NA,NA,26/07/2022,NA
00199.HK,NA,NA,NA,NA,26/07/2022,NA,NA
01668.HK,NA,NA,NA,NA,26/07/2022,NA,NA
01160.HK,NA,NA,NA,NA,26/07/2022,NA,NA
00567.HK,NA,NA,NA,NA,26/07/2022,NA,NA
00150.HK,NA,NA,NA,NA,26/07/2022,NA,NA
01632.HK,NA,NA,NA,NA,NA,26/07/2022,NA
06858.HK,NA,NA,NA,NA,26/07/2022,NA,NA
02663.HK,NA,NA,NA,NA,NA,26/07/2022,NA
01499.HK,NA,NA,NA,NA,NA,26/07/2022,NA
00618.HK,NA,NA,NA,NA,26/07/2022,NA,NA
01939.HK,NA,NA,NA,NA,NA,26/07/2022,NA
01627.HK,NA,NA,NA,NA,NA,25/07/2022,NA
00234.HK,NA,NA,NA,NA,NA,25/07/2022,NA
00057.HK,NA,NA,NA,NA,25/07/2022,NA,NA
01982.HK,NA,NA,NA,NA,NA,25/07/2022,NA
00398.HK,NA,NA,NA,NA,NA,25/07/2022,NA
00677.HK,NA,NA,NA,NA,NA,25/07/2022,NA
00731.HK,NA,NA,NA,NA,NA,25/07/2022,NA
00147.HK,NA,NA,NA,NA,25/07/2022,NA,NA
00918.HK,NA,NA,NA,NA,25/07/2022,NA,NA
00345.HK,NA,NA,NA,NA,25/07/2022,NA,NA
01460.HK,NA,NA,NA,NA,25/07/2022,NA,NA
08347.HK,NA,NA,NA,NA,NA,22/07/2022,NA
00384.HK,NA,NA,NA,NA,22/07/2022,NA,NA
01402.HK,NA,NA,NA,NA,NA,22/07/2022,NA
00310.HK,NA,NA,NA,NA,22/07/2022,NA,NA
01825.HK,NA,NA,NA,NA,22/07/2022,NA,NA
03997.HK,NA,NA,NA,NA,22/07/2022,NA,NA
01662.HK,NA,NA,NA,NA,22/07/2022,NA,NA
00178.HK,NA,NA,NA,NA,22/07/2022,NA,NA
01737.HK,NA,NA,NA,NA,NA,22/07/2022,NA
01637.HK,NA,NA,NA,NA,22/07/2022,NA,NA
02080.HK,NA,NA,NA,NA,NA,22/07/2022,NA
00784.HK,NA,NA,NA,NA,NA,22/07/2022,NA
03816.HK,NA,NA,NA,NA,NA,22/07/2022,NA
01985.HK,NA,NA,NA,NA,NA,22/07/2022,NA
06033.HK,NA,NA,NA,NA,22/07/2022,NA,NA
00309.HK,NA,NA,NA,NA,22/07/2022,NA,NA
00616.HK,NA,NA,NA,NA,NA,22/07/2022,NA
03998.HK,NA,NA,NA,NA,22/07/2022,NA,NA
03998.HK,NA,NA,NA,NA,21/07/2022,NA,NA
00768.HK,NA,NA,NA,NA,NA,21/07/2022,NA
01827.HK,NA,NA,NA,NA,21/07/2022,NA,NA
00280.HK,NA,NA,NA,NA,NA,21/07/2022,NA
00105.HK,NA,NA,NA,NA,21/07/2022,NA,NA
00266.HK,NA,NA,NA,NA,21/07/2022,NA,NA
01547.HK,NA,NA,NA,NA,21/07/2022,NA,NA
00114.HK,NA,NA,NA,NA,NA,21/07/2022,NA
09913.HK,NA,NA,NA,NA,NA,21/07/2022,NA
01235.HK,NA,NA,NA,NA,NA,21/07/2022,NA
00406.HK,NA,NA,NA,NA,NA,21/07/2022,NA
01500.HK,NA,NA,NA,NA,NA,21/07/2022,NA
01711.HK,NA,NA,NA,NA,21/07/2022,NA,NA
00464.HK,NA,NA,NA,NA,NA,21/07/2022,NA
06182.HK,NA,NA,NA,NA,NA,21/07/2022,NA
00638.HK,NA,NA,NA,NA,NA,20/07/2022,NA
01469.HK,NA,NA,NA,NA,NA,20/07/2022,NA
00064.HK,NA,NA,NA,NA,NA,20/07/2022,NA
00922.HK,NA,NA,NA,NA,NA,20/07/2022,NA
00343.HK,NA,NA,NA,NA,NA,20/07/2022,NA
08011.HK,NA,NA,NA,NA,20/07/2022,NA,NA
00442.HK,NA,NA,NA,NA,NA,20/07/2022,NA
00711.HK,NA,NA,NA,NA,20/07/2022,NA,NA
01630.HK,NA,NA,NA,NA,NA,20/07/2022,NA
01867.HK,NA,NA,NA,NA,NA,20/07/2022,NA
01854.HK,NA,NA,NA,NA,NA,20/07/2022,NA
